th      AExpCC     CGC     CGCQPBOI     MCR     MCI   PlanarCC    KL   
0.1000  46.0062  2.5555  41.0408  5.5679  0.0000  9.4194  193.0475  
0.2000  46.8894  1.9359  30.7749  5.3325  0.0000  10.1389  196.2707  
0.3000  43.7531  2.7213  26.3100  5.8414  0.0000  7.8915  167.6641  
0.4000  40.4028  2.5336  20.3713  4.0494  0.0000  6.5993  143.6926  
0.5000  36.6699  1.9088  17.5261  3.1973  0.0000  5.0588  113.4352  
0.6000  33.2212  1.8645  13.7199  2.3970  0.0000  4.2723  84.6639  
0.7000  26.3252  1.2811  9.8380  3.0487  0.0000  3.0699  57.7289  
0.8000  17.8321  1.1081  6.6671  2.1591  0.0000  2.3819  36.9967  
0.9000  5.3641  0.5031  1.9117  0.8650  0.0000  0.6173  15.6410  
